Race Date,Race Time,Meeting,Horse Name
2025-04-16,4:32,BEV,Equity Law
2025-04-16,2:15,BEV,Escape Route
2025-04-16,1:40,HAP,Ethical Code
2025-04-16,1:57,GOW,Everstar
2025-04-16,2:45,HAP,Fahrenheit Seven
2025-04-16,5:20,NMK,Fairy Horse
2025-04-16,2:45,HAP,Fatal Blow
2025-04-16,2:45,HAP,Felicie Du Maquis
2025-04-16,5:45,FFO,Field Of Gold
2025-04-16,3:35,NMK,Fifty Nifty
2025-04-16,5:20,NMK,Flash Collonges
2025-04-16,3:50,CHL,Floof
2025-04-16,12:10,HAP,Foremost Teddy
2025-04-16,12:40,HAP,Forever Glorious
2025-04-16,1:40,HAP,Forlio
2025-04-16,5:27,GOW,Fortescue
2025-04-16,3:15,CHL,Fortunate Son
2025-04-16,3:50,HAP,Fortune Whiskey
2025-04-16,2:45,HAP,Freddy Robinson
2025-04-16,4:32,BEV,Fugitif
2025-04-16,2:40,CHL,Gallant
2025-04-16,1:50,NMK,Gallo Dell Cielo
2025-04-16,4:52,GOW,Game Colours
2025-04-16,5:00,CHL,Gangster Granny
2025-04-16,5:27,GOW,Gavin
2025-04-16,7:45,FFO,Gaye Legacy
2025-04-16,5:45,FFO,General Smart
2025-04-16,1:40,HAP,Getalead
2025-04-16,6:45,FFO,Giant Leap
2025-04-16,1:10,HAP,Gimme Five
2025-04-16,11:40,HAP,Glenroyal
2025-04-16,2:32,GOW,Glory B
2025-04-16,2:45,HAP,Glyde Ranger
2025-04-16,5:27,GOW,Goko Win
2025-04-16,3:15,HAP,Golan Loop
2025-04-16,5:12,FFO,Good Earth
2025-04-16,2:15,BEV,Good Impression
2025-04-16,7:45,FFO,Gorak
2025-04-16,5:20,NMK,Gotomylovely
2025-04-16,3:07,GOW,Grace Angel
2025-04-16,2:15,BEV,Grand Grey
2025-04-16,3:00,NMK,Grandads Cottage
2025-04-16,4:25,CHL,Grappa Nonino
2025-04-16,5:27,GOW,Great Spirit
2025-04-16,3:15,HAP,Groovy Blue
2025-04-16,1:30,CHL,Guard The Moon
2025-04-16,3:50,CHL,Guchen
2025-04-16,4:37,FFO,Hakka Radiance
2025-04-16,12:10,HAP,Hang In There
2025-04-16,2:40,CHL,Happy Tango
2025-04-16,11:40,HAP,Harana
2025-04-16,3:07,GOW,Harbour Lake
2025-04-16,3:50,CHL,Hard Endeavor
2025-04-16,2:25,NMK,Harper's Brook
2025-04-16,2:40,CHL,Harswell Ruby
2025-04-16,5:07,BEV,Hasten Slowly
2025-04-16,4:52,GOW,Havana Rum
2025-04-16,2:50,BEV,High Stock
2025-04-16,2:25,NMK,Highbury Hill
2025-04-16,7:45,FFO,Highland Rahy
2025-04-16,3:50,HAP,Hinchinbrooke
2025-04-16,2:25,NMK,Hiya Maite
2025-04-16,2:50,BEV,Hopes Are High
2025-04-16,2:32,GOW,Hymac
2025-04-16,4:25,CHL,I Am The Moon
2025-04-16,5:45,FFO,I Spy A Diva
2025-04-16,6:45,FFO,Iconical
2025-04-16,12:40,HAP,Il Ridoto
2025-04-16,2:40,CHL,Illico De Cotte
2025-04-16,3:15,CHL,Impartiality
2025-04-16,5:07,BEV,Imperial Storm
2025-04-16,7:15,FFO,Imso Friendly
2025-04-16,1:40,BEV,Invictus Gold
2025-04-16,1:50,NMK,It's A Breeze
2025-04-16,4:37,FFO,Jacques Clouseau
2025-04-16,1:30,CHL,Jalisco Star
2025-04-16,5:45,FFO,Java Point
2025-04-16,4:25,CHL,Jax Junior
2025-04-16,1:30,CHL,Joyful Princess
2025-04-16,3:07,GOW,Jubilant Winner
2025-04-16,3:15,HAP,Jumby
2025-04-16,5:20,NMK,Jumping Jet
2025-04-16,3:15,CHL,Just Aidan
2025-04-16,7:45,FFO,Ka Ying Victory
2025-04-16,1:10,HAP,Kado De Joie
2025-04-16,6:45,FFO,Kap Boy
2025-04-16,5:12,FFO,Karaktere d'Enfer
2025-04-16,5:12,FFO,Karuma Grey
2025-04-16,6:15,FFO,Katana
2025-04-16,4:37,FFO,Kilfrush Desert
2025-04-16,1:40,BEV,King Lotus
2025-04-16,3:15,HAP,King Miles
2025-04-16,2:10,HAP,King Of Bears
2025-04-16,1:50,NMK,King Of Tonga
2025-04-16,2:15,BEV,King William Rufus
2025-04-16,5:00,CHL,Know At Heart
2025-04-16,2:45,HAP,Kodi's Angel
2025-04-16,3:07,GOW,Kokanee
2025-04-16,4:00,BEV,Kylenoe Dancer
2025-04-16,7:45,FFO,L'Empire Vert
2025-04-16,7:45,FFO,Lady Crossing
2025-04-16,3:07,GOW,Lady Of The Isles
2025-04-16,4:10,NMK,Laganhill
2025-04-16,1:30,CHL,Law Degree
2025-04-16,5:07,BEV,Lean Hero
2025-04-16,3:50,HAP,Leech
2025-04-16,7:45,FFO,Lelant
2025-04-16,7:15,FFO,Lemurian
2025-04-16,4:45,NMK,Lethal Levi
2025-04-16,3:00,NMK,Letterston Lady
2025-04-16,6:45,FFO,Lightening Mann
2025-04-16,4:00,BEV,Lilting Verse
2025-04-16,5:45,FFO,Live Like The Boss
2025-04-16,3:42,GOW,Lively Citizen
2025-04-16,5:00,CHL,Liverpool Knight
2025-04-16,5:00,CHL,Long Draw
