Age,Breeder,Trainer,Owner,Sire,Dam,Dam's Sire,Chase Wins,Hurdle Wins,NHF Wins,PTP Wins,Rules Wins,Win %
8,Peter Deane,"Ian Patrick Donoghueright(Last 14 days:0-8,0%)",Matthew Rogersright,Court Caveright(IRE)(12f),Royal Streamright(IRE),Alderbrookright(GB)(15f),1/8,3/7,0/2,1/1,4/17,5.11
8,Peter Deane,"Ian Patrick Donoghueright(Last 14 days:0-8,0%)",Matthew Rogersright,Court Caveright(IRE)(12f),Royal Streamright(IRE),Alderbrookright(GB)(15f),1/8,3/7,0/2,1/1,4/17,5.11
8,Peter Deane,"Ian Patrick Donoghueright(Last 14 days:0-8,0%)",Matthew Rogersright,Court Caveright(IRE)(12f),Royal Streamright(IRE),Alderbrookright(GB)(15f),1/8,3/7,0/2,1/1,4/17,23.53
