Age,Breeder,Trainer,Owner,Sire,Dam,Dam's Sire,Race Type,Runs,Wins,2nds,3rds,Winnings,Prize,Earnings,Best TS,Best RPR,Best MR
7,Peter Deane,"Ian Patrick Donoghueright(Last 14 days:1-11,9%)",Matthew Rogersright,Court Caveright(IRE)(12f),Royal Streamright(IRE),Alderbrookright(GB)(15f),Chase,8,1/8,1,0,"£10,562",45K,"£45,341",133,142,—
7,Peter Deane,"Ian Patrick Donoghueright(Last 14 days:1-11,9%)",Matthew Rogersright,Court Caveright(IRE)(12f),Royal Streamright(IRE),Alderbrookright(GB)(15f),Hurdle,7,3/7,2,1,"£15,285",30K,"£29,511",109,131,—
7,Peter Deane,"Ian Patrick Donoghueright(Last 14 days:1-11,9%)",Matthew Rogersright,Court Caveright(IRE)(12f),Royal Streamright(IRE),Alderbrookright(GB)(15f),NHF,2,0/2,1,0,—,1K,"£1,347",63,94,—
7,Peter Deane,"Ian Patrick Donoghueright(Last 14 days:1-11,9%)",Matthew Rogersright,Court Caveright(IRE)(12f),Royal Streamright(IRE),Alderbrookright(GB)(15f),PTP,1,1/1,0,0,—,,—,—,89,—
7,Peter Deane,"Ian Patrick Donoghueright(Last 14 days:1-11,9%)",Matthew Rogersright,Court Caveright(IRE)(12f),Royal Streamright(IRE),Alderbrookright(GB)(15f),Rules,17,4/17,4,1,"£25,847",76K,"£76,199",—,—,—
